Name,Name,Key,Style,Style_Key,Brewery,Description,ABV,Ave_Rating,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,Brewery_ID,Brewery_Name,Avg_Review_Overall,Avg_Review_Aroma,Avg_Review_Appearance,Avg_Review_Palate,Avg_Review_Taste,Beer_ID
Captain Stout,Captain Stout,3828,Stout - American,88,Alpine Beer Company,"Notes:The Captain is leader of a fire crew. This beer takes charge of your taste buds with its rich flavor. Roasty malt character that has hints of chocolate and coffee which balances the smooth, velvety finish. The thick, creamy head lasts and lasts, leaving lace in your glass as your beer disappears. This beer pairs well with food. Great with dinner or as breakfast or even with a rich vanilla-bean ice cream. 1.060 OG 31 IBU	",6.0,3.78,20,79,6,62,59,9,0,9,31,9,114,3120,Alpine Beer Company,3.877450980392157,3.784313725490196,3.926470588235294,3.6715686274509802,3.8333333333333335,9763
Captain Swain's Extra Stout,Captain Swain's Extra Stout,3971,Stout - Foreign / Export,91,Cisco Brewers Inc.,Notes:,8.0,3.93,22,106,22,125,71,15,0,21,100,22,124,261,Cisco Brewers Inc.,3.8394160583941606,3.9160583941605838,4.113138686131387,3.81021897810219,3.9197080291970803,768
Carib Lager,Carib Lager,2296,Lager - Adjunct,54,Carib Brewery Limited,Notes:,5.0,2.82,16,18,3,14,23,9,0,14,18,5,28,272,Carib Brewery Limited,3.107843137254902,2.5130718954248366,2.8823529411764706,2.803921568627451,2.810457516339869,750
Carlsberg Beer,Carlsberg Beer,2406,Lager - European Pale,57,Carlsberg Danmark A/S,Notes:,5.0,3.04,16,27,4,21,31,13,0,16,32,4,55,721,Carlsberg Danmark A/S,3.2620087336244543,2.7751091703056767,3.1528384279475983,3.054585152838428,2.993449781659389,2270
"Carnegie Porter 5,5%","Carnegie Porter 5,5%",2964,Porter - Baltic,69,Carlsberg Sverige AB,"Notes:First introduced in 1836. Strong beers were banned in Sweden 1923-1956.The 5.5 % original recipe was re-introduced in 1985 as a beer fermented with both top and bottom yeast. In 1993, the yeast was changed to a single bottom-fermenting strain. In 2009, the label design and name was changed from ""Carnegie Stark-Porter"" to ""Carnegie Porter"".40 IBU	",5.5,4.12,9,95,14,52,110,29,0,40,29,12,126,10897,Carlsberg Sverige AB,4.198019801980198,4.018151815181518,4.023102310231023,4.079207920792079,4.186468646864687,755
Carnevale,Carnevale,1891,Farmhouse Ale - Saison,45,The Lost Abbey,"Notes:Farmhouse style Saison with Brettanomyces, Amarillo and Simcoe Hops. Brewed in celebration of Lent and Easter season, Carnevale is light bodied Saison, using Brettanomyces along with Amarillo and Simcoe hops to generate flavor and depth. Carnevale’s complexity grows with time. The citrus notes tend to wane and the wild yeast rears its wonderfully tasting head.2008 (first release) did not have brettanomyces.	",8.2,3.97,31,39,13,37,55,90,2,80,53,42,50,18149,The Lost Abbey,4.067099567099567,3.984848484848485,3.963203463203463,3.8766233766233764,3.9783549783549783,40970
Carta Blanca,Carta Blanca,2288,Lager - Adjunct,54,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",Notes:,4.5,2.69,33,26,4,12,28,10,4,12,23,4,39,57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3.0267857142857144,2.568452380952381,2.8154761904761907,2.7916666666666665,2.75,1284
Casablanca Beer,Casablanca Beer,2446,Lager - European Pale,57,Brasseries Du Maroc,Notes:,5.0,2.87,15,22,4,21,33,10,2,11,38,1,51,1272,Brasseries Du Maroc,2.986666666666667,2.7,2.993333333333333,2.84,2.76,9809
Cascade Blonde,Cascade Blonde,5024,Wheat Beer - Kristallweizen,114,Cascade Brewery Company Ltd.,Notes:,4.8,3.01,5,11,2,18,15,19,0,19,20,4,38,1595,Cascade Brewery Company Ltd.,3.6538461538461537,3.1923076923076925,3.423076923076923,3.423076923076923,3.3846153846153846,27817
Cascade Kriek Ale,Cascade Kriek Ale,5421,Sour - Flanders Red Ale,124,Cascade Brewing / Raccoon Lodge & Brewpub,"Notes:This NW style sour red ale is blend of red ales aged in oak barrels for up to eight months, then aged on fresh Bing and sour pie cherries for an additional eight months. Aromas of rich, dark cherries, oak and slight hints of cinnamon are noticed up front. Dark, tart cherries and light spice notes dance on the palate and lead to a rich, dark, tart sparkling finish of dark cherries and oak.Note:Kriek 2007 = 6.6% ABVKriek 2008 = 8.1% ABVKriek 2009 = 7.3% ABVKriek 2010 = 7.1% ABVKriek 2012 = 7.2% ABVKriek 2013 = 8.2% ABVKriek 2014 = 8.2% ABVKriek 2015 = 7.1% ABVPlease note which version is being reviewed, if known.	",8.2,4.23,56,32,13,10,52,158,0,107,9,22,29,2391,Cascade Brewing / Raccoon Lodge & Brewpub,4.176630434782608,4.149456521739131,3.9456521739130435,4.070652173913044,4.2146739130434785,42193
Cascade The Vine,Cascade The Vine,5543,Wild Ale,126,Cascade Brewing / Raccoon Lodge & Brewpub,"Notes:The Vine is a blend of sour wheat and blond ales aged in white wine barrels for up to 18 months with Gewurztraminer grapes. ABV seems to vary, between 8.33-10.1%	",10.1,4.22,46,28,16,5,106,168,3,106,13,8,40,2391,Cascade Brewing / Raccoon Lodge & Brewpub,4.103092783505154,4.082474226804123,3.9896907216494846,4.082474226804123,4.175257731958763,47782
Cascade Vlad The Imp Aler,Cascade Vlad The Imp Aler,5557,Wild Ale,126,Cascade Brewing / Raccoon Lodge & Brewpub,"Notes:This Northwest style sour is a blend of spiced Quads, Triples and Blondes aged in Bourbon and wine barrels for over 18 months with orange peel and coriander. Vlad offers a fresh acidity and mild sweetness with flavors of citrus, spice and rich oak. Winner of the Silver Medal at the 2008 GABF. ABV 12.3%First Release: 9.5% ABVSecond Release (Sept 2010): 10.6% ABVThird Release: 2011 - 10.91%	",12.3,4.29,46,63,61,11,78,173,1,83,14,31,60,2391,Cascade Brewing / Raccoon Lodge & Brewpub,4.123711340206185,4.149484536082475,3.9948453608247423,4.06701030927835,4.211340206185567,46467
Castelain Blond Biere De Garde,Castelain Blond Biere De Garde,1818,Farmhouse Ale - Bière de Garde,44,Brasserie Castelain,Notes:,6.4,3.89,36,41,26,19,101,62,2,63,40,15,88,380,Brasserie Castelain,4.026785714285714,3.7455357142857144,3.9598214285714284,3.857142857142857,3.8392857142857144,2360
Cazeau Tournay Noire,Cazeau Tournay Noire,3978,Stout - Foreign / Export,91,Brasserie De Cazeau,Notes:,7.6,3.74,27,96,32,82,109,27,0,48,42,22,134,10260,Brasserie De Cazeau,3.7564102564102564,3.5,4.089743589743589,3.6538461538461537,3.7051282051282053,45414
Celebration Stout,Celebration Stout,4042,Stout - Irish Dry,92,The Porterhouse Brewing Company,Notes:Originally 10.0% ABV but brought back at 7.0% and then 6.5%.	,6.5,4.1,20,106,26,71,85,22,0,38,49,20,115,2243,The Porterhouse Brewing Company,4.205882352941177,4.235294117647059,4.029411764705882,4.147058823529412,4.352941176470588,33859
Cellar Door,Cellar Door,1875,Farmhouse Ale - Saison,45,Stillwater Artisanal Ales,"Notes:Over the ages the term ’cellar door’ has numerously been referred to as the most beautiful term in the English language. Upon setting out to create the first summer addition to the Stateside line up of ales; the feeling that almost instantly came to me was that of beauty & cleansing. Many summer offerings tend to lack the complexity of their bigger, colder season counterparts; so my goal was to craft an ale of extreme balance with a delicate complexity that allows for contemplation while also providing quaffable refreshment. Starting with a base of German wheat & pale malts this crisp slightly hazy foundation was then accented with a blend of Sterling & Citra hops providing a intricate blend of herbal grass & tangerine citrus flavors and aroma. To pull this all together and to complete the ’cleansing’ aspect of my vision I gently finished the ale off with a touch of white sage, lending a mild earthy spice character to the blend. Of course let’s not forget our house saison yeast that brought all the elements together leaving a dry yet intricate finish.	",6.6,4.04,38,37,4,31,47,76,0,80,115,20,42,22150,Stillwater Artisanal Ales,4.104938271604938,4.1419753086419755,4.098765432098766,3.9814814814814814,4.148148148148148,58523
Celtic Ale,Celtic Ale,2238,Red Ale - Irish,52,Long Ireland Beer Company,Notes:,5.0,3.55,14,38,9,30,52,11,1,8,43,7,72,20345,Long Ireland Beer Company,4.083333333333333,3.5,3.7916666666666665,3.7916666666666665,3.875,50398
Censored,Censored,2155,Red Ale - American Amber / Red,51,Lagunitas Brewing Company,Notes:35 IBU	,6.75,3.75,10,32,14,46,60,23,0,24,56,6,81,220,Lagunitas Brewing Company,3.906073446327684,3.643361581920904,3.8135593220338984,3.7937853107344632,3.8312146892655368,3711
Centurion's Ghost Ale,Centurion's Ghost Ale,4697,Strong Ale - English,106,York Brewery Company Limited,"Notes:Centurion's Ghost is a multiple gold medal award-winning dark ruby ale. It has a smooth roasted malt palate, and a combination of Challenger, Fuggle and Bramling Cross hops give it a subtle bitterness with autumn fruit flavours that linger on the aftertaste.	",5.4,3.88,12,88,18,72,70,30,1,34,77,23,107,775,York Brewery Company Limited,3.775,3.95,3.75,3.625,3.775,14027
Ch'ti Blonde,Ch'ti Blonde,1840,Farmhouse Ale - Bière de Garde,44,Brasserie Castelain,"Notes:After brewing and fermentation, CH’TI beers is kept for long weeks in storage tanks. In the calm and cool (0°C) environment, the beer matures, develops a finer taste, perfects its aroma and acquires its natural and characteristic sparkles. It is here also that the beer obtains its balance, finesse and gleam.	",6.4,3.54,22,38,21,36,70,57,3,54,51,9,60,380,Brasserie Castelain,3.757575757575758,3.409090909090909,3.6666666666666665,3.6515151515151514,3.515151515151515,17369
Chainbreaker White IPA,Chainbreaker White IPA,1306,IPA - Belgian,33,Deschutes Brewery,Notes:,5.5,3.69,12,27,11,47,21,61,0,75,66,22,22,63,Deschutes Brewery,3.6666666666666665,3.7222222222222223,3.5,3.6666666666666665,3.5555555555555554,68942
Chapeau Faro Lambic,Chapeau Faro Lambic,5153,Lambic - Faro,118,Brouwerij De Troch,Notes:,4.75,3.41,24,35,13,7,178,132,0,76,9,2,40,190,Brouwerij De Troch,3.2777777777777777,3.375,3.548611111111111,3.3958333333333335,3.4166666666666665,6624
Chapeau Gueuze Lambic,Chapeau Gueuze Lambic,5254,Lambic - Gueuze,120,Brouwerij De Troch,Notes:,5.5,2.62,6,16,6,1,69,69,0,52,3,0,10,190,Brouwerij De Troch,2.5454545454545454,2.772727272727273,3.090909090909091,2.8636363636363638,2.590909090909091,5359
Charkoota Rye,Charkoota Rye,3759,Smoked Beer,86,New Holland Brewing Company,"Notes:Charkoota Rye - Smoked Doppelbock LagerCharkoota Rye is a Smoked Rye Dopplebock. Charkoota Rye's malty backbone is derived from a blend of rye and four other malts, including malted barley smoked over cherry wood by our very own brewers, John and Jeff.Its smoke-forward body is balanced with tones of deep mollasses and caramel, with a crisp, clean lager finish. 19° Plato, Alc. 7.75% by Vol.	",7.79,3.64,29,64,29,38,98,32,1,32,21,139,145,335,New Holland Brewing Company,3.540909090909091,3.727272727272727,3.731818181818182,3.672727272727273,3.6818181818181817,47050
Cherokee Red Ale,Cherokee Red Ale,2230,Red Ale - Irish,52,Smoky Mountain Brewery & Restaurant,Notes:,5.5,3.28,21,33,4,38,51,19,0,21,55,5,78,943,Smoky Mountain Brewery & Restaurant,3.017857142857143,3.0,3.142857142857143,2.9464285714285716,2.892857142857143,3024
Chester County Bitter,Chester County Bitter,1629,Bitter - English,40,Sly Fox Brewing Company,Notes:This traditional British Ale is authentic cask conditioned beer with a smooth malt profile balance by a subtle hop presence. Dry-hopping in the cask produces an enticing hop aroma in this quaffable session ale.	,4.5,3.63,14,85,10,74,32,31,0,30,91,37,82,10397,Sly Fox Brewing Company,3.9038461538461537,3.576923076923077,3.923076923076923,3.9038461538461537,3.730769230769231,55604
Chez Monieux,Chez Monieux,5214,Lambic - Fruit,119,Alpine Beer Company,Notes:,5.8,3.78,35,50,6,0,43,134,0,85,7,7,11,3120,Alpine Beer Company,4.071428571428571,3.9693877551020407,3.7857142857142856,3.877551020408163,4.051020408163265,42157
Chicken Killer Barley Wine,Chicken Killer Barley Wine,4240,Barleywine - American,97,Santa Fe Brewing Company,"Notes:Chicken Killer Barley Wine is the revolutionary beer that will someday define America's unique Barley Wine style. It is brewed with twice the ingredients of the Santa Fe Brewing Company's other beers, and only half the usual amount of liquid is extracted from these ingredients. This makes one substantial beer. At over ten percent alcohol, Chicken Killer is actually as substantial as wine, but this is not to say that it is difficult to drink. On the contrary; be careful with this one. The flavors of the beer are at first as overwhelming as the intense Santa Fe sun. But in the same way our sun gives us the unrivaled brilliant colors of Santa Fe, the potency of Chicken Killer gives us the remarkable spectrum of flavors that can be found in no other beer, in no other city. If you did not have the opportunity to try last year's vintage, come try this year's!	",10.0,3.72,13,41,40,61,85,38,0,47,61,4,104,1683,Santa Fe Brewing Company,3.5444444444444443,3.566666666666667,3.925925925925926,3.7,3.6074074074074076,28817
Chief BlackHawk Porter,Chief BlackHawk Porter,3109,Porter - Robust,72,Tyranena Brewing Company,"Notes:Chief BlackHawk Porter is a robust black and sharply bittersweet ale. This style was traditionally the session beer consumed by the porters in London.Hold your glass to the light and you may glimpse dashes of garnet dancing through this dark, black ale. Count on a dense and creamy mocha head to rise a few inches and leave a sticky, lacy trail down the sides of your glass as it slowly settles.The aroma of coffee beans and bittersweet chocolate will water your mouth. Visions of sticking your finger in a bowl of thick, fudgey batter or stealing a darkened and decadent chocolate chip cookie might creep into your thoughts. A variety of dark, roasted malts…Brown, Chocolate, Black…lend rich flavors and deep colors to this ale.	",5.75,3.84,22,90,12,92,65,9,1,3,53,12,151,784,Tyranena Brewing Company,4.071917808219178,3.845890410958904,3.9863013698630136,3.8047945205479454,3.8835616438356166,3375
Chili Beer,Chili Beer,3249,Chile Beer,75,Calapooia Brewing Company,Notes:,4.8,3.74,2,9,12,5,0,1,1,1,5,27,8,15636,Calapooia Brewing Company,4.166666666666667,4.166666666666667,3.6666666666666665,4.0,4.333333333333333,41788
Chili Pepper Ale,Chili Pepper Ale,3224,Chile Beer,75,Six Rivers Brewery,"Notes:""Chile Pepper Ale - Alcohol content 6.0%HOT! Spicy ale made with assorted chilies blended with our wheat ale.""	",6.0,3.22,10,22,32,13,12,25,0,20,4,169,30,4317,Six Rivers Brewery,2.8823529411764706,3.2058823529411766,3.5294117647058822,2.7941176470588234,2.8823529411764706,38842
Ching Ching,Ching Ching,5355,Sour - Berliner Weisse,122,Bend Brewing Company,Notes:,4.5,4.23,41,29,4,2,69,164,0,110,44,0,37,361,Bend Brewing Company,3.6,3.5,3.6,3.5,3.6,70099
Chipotle Ale,Chipotle Ale,3202,Chile Beer,75,Rogue Ales,"Notes:Label of 22 oz bottle:8 Ingredients: Harrington, Klages & Maier Munich Malts; Cascade & Willamette Hops; Chipotle Peppers, Free Range Coastal Waters & Top Fermenting Pacman Yeast.No Chemicals, No Preservatives, No Additives.Dedicated to Spanish author Juan de la Cueva, who, in 1575, wrote of a Mexican dish that combined seedless chipotles with ale.This ale is deep amber in color with a rich malty aroma, and delicately spiced with smoked Jalapeno peppers to give it that extra bite!Oregon Brewed - Established 1988Oxygen Fixing Caps - 35 IBU	",5.4,3.62,13,30,25,32,21,7,0,7,40,170,47,132,Rogue Ales,3.42152466367713,3.5575485799701045,3.7324364723467864,3.6292974588938716,3.6292974588938716,354
Chocolate Ale,Chocolate Ale,4518,Strong Ale - American,103,Boulevard Brewing Co.,"Notes:One of the brightest stars in a city filled with culinary treasures, Christopher Elbow has been handcrafting masterpieces in chocolate for more than ten years. In that time the reputation of his artistic delicacies has spread around the globe. Elbow’s sweets are distinguished by their use of unusual and sometimes surprising flavors and ingredients; in that adventurous spirit we joined forces to bring you a very special Chocolate Ale.In developing this beer, Elbow and Boulevard brewmaster Steven Pauwels sought to harmonize the interplay of chocolate and malt, with each supporting and enhancing, but not overwhelming, the other. Just the right chocolate was essential. Elbow recommended a rare variety from the Dominican Republic, prized for its robust flavor and aroma, and a personal favorite. More than a mere flavoring, the chocolate — in the form of nibs, or crushed, roasted beans – was incorporated into the brewing process itself.24 IBU	",8.7,3.76,10,132,24,46,124,16,0,22,25,22,169,423,Boulevard Brewing Co.,3.85546875,3.98828125,3.91796875,3.89453125,4.01171875,66077
Chocolate Oak Aged Yeti,Chocolate Oak Aged Yeti,3876,Stout - American Imperial,89,Great Divide Brewing Company,"Notes:Chocolate Oak Aged Yeti Imperial Stout is another revered incarnation of our legendary imperial stout. We toned down the hops a bit to allow cocoa nibs to contribute some pleasing bitterness, while vanilla notes from the oak combine with the cocoa to create an aroma and flavor akin to a gourmet chocolate bar. A dash of cayenne keeps things lively, adding just a bit of heat to the finish. Another great Yeti? Hell yes.	",9.5,4.23,15,138,25,66,98,5,0,11,39,48,137,158,Great Divide Brewing Company,3.9207836456558773,4.073253833049404,4.3730834752981265,4.111584327086883,4.100511073253833,50176
Chocolate Rain,Chocolate Rain,3882,Stout - American Imperial,89,The Bruery,Notes:Black Tuesday with Vanilla Bean & Cocoa Nibs.2011: 18.5% ABV 2012: 19.5% ABV2013: 18.0% ABV2014: 18.5% ABV2015: 18.4% ABV2016: 19.7% ABV2017: 19.6% ABV2018: 19.5% ABV2019: 19.5% ABV	,19.6,4.59,6,82,51,27,69,7,0,14,5,25,88,16866,The Bruery,4.235849056603773,4.481132075471698,4.080188679245283,4.113207547169812,4.39622641509434,53728
Chocolate Stout,Chocolate Stout,3802,Stout - American,88,Rogue Ales,"Notes:12 Ingredients:Great Western 2-Row, Crystal 135- 165, Chocolate & Rogue Micro Barley Farm DareTM & RiskTM Malts; Rogue Micro Hopyard Revolution & Rebel Hops, Rolled Oats, Roasted Barley, Natural Chocolate Flavoring, Free Range Coastal Waters & Pacman Yeast.15º PLATO69 IBU77 AA135º Lovibond	",5.8,4.19,6,130,8,81,109,6,0,9,53,11,143,132,Rogue Ales,4.1223756906077345,4.306353591160221,4.320165745856354,4.100828729281768,4.257734806629834,1118
Chomolungma,Chomolungma,425,Brown Ale - English,11,Jackie O's Pub & Brewery,Notes:,6.5,3.81,8,45,6,36,70,15,1,15,31,4,112,1432,Jackie O's Pub & Brewery,3.8636363636363638,3.6363636363636362,3.8181818181818183,3.909090909090909,3.8181818181818183,44294
Christmas Ale,Christmas Ale,4360,Quadrupel (Quad),100,Brouwerij St. Bernardus NV,Notes:,10.0,4.24,13,40,36,15,110,35,0,80,19,54,52,259,Brouwerij St. Bernardus NV,3.846105527638191,3.8096733668341707,3.989321608040201,3.824748743718593,3.8969849246231156,39286
Christoffel Bokbier,Christoffel Bokbier,189,Bock - Traditional,5,Bierbrouwerij Sint Christoffel B.V,Notes:Also known as Christoffel Bock	,7.8,3.57,8,55,23,25,114,29,0,54,31,6,95,553,Bierbrouwerij Sint Christoffel B.V,3.5238095238095237,3.5595238095238093,3.4047619047619047,3.4761904761904763,3.5238095238095237,26322
Christoffel Nobel,Christoffel Nobel,2462,Lager - European Strong,58,Bierbrouwerij Sint Christoffel B.V,"Notes:This golden-blond extra strong beer, with added fresh noble hop flowers during maturation of at least 10 weeks, is a unique beer, bottom fermented, unfiltered, and unpasteurized. Nobel refers to the varieties of noble hop species, selected because of their quality, which traditionally are low in bitterness and high in aroma. With 8.7% ABV, an attractive bitterness, a very pleasant hoppy Spalt, Saaz, or Golding aroma, and a slightly sweetish alcoholic aftertaste, we created a beer in a class of its own until the last swig.	",8.7,3.71,31,43,46,87,46,45,0,45,125,7,40,553,Bierbrouwerij Sint Christoffel B.V,3.6835443037974684,3.8227848101265822,3.867088607594937,3.7025316455696204,3.689873417721519,46952
Chunga's Old Bruin,Chunga's Old Bruin,5397,Sour - Flanders Oud Bruin,123,Jackie O's Pub & Brewery,"Notes:A Flanders style brown ale. We took Chomo-lung-ma (our organic honey nut brown) and aged it in a second generation Woodford Reserve barrel (subtle bourbon flavor, notes of American oak) for four months with 30lbs of tart cherries and a specially blended culture of wild yeast and beer souring bacteria. Chunga's Old Bruin exhibits and aroma of sweet cherries and faint chocolate/ roasted malt complemented by a faint oak bouquet. The flavor has a pronounced sour character with the caramel, chocolate, and roasted malt finish.	",8.5,4.18,54,71,29,6,101,166,0,89,20,15,86,1432,Jackie O's Pub & Brewery,4.075,4.1,3.825,3.9,4.15,46415
Cinco Estrellas,Cinco Estrellas,2447,Lager - European Pale,57,Mahou S.A.,Notes:,5.5,2.9,15,21,4,31,6,8,0,8,40,0,33,920,Mahou S.A.,2.9782608695652173,2.760869565217391,3.0434782608695654,2.9130434782608696,2.782608695652174,17550
Clausthaler Golden Amber,Clausthaler Golden Amber,3613,Low Alcohol Beer,83,Binding-Brauerei AG,Notes:,0.3,3.29,22,38,29,40,65,16,0,13,70,4,81,290,Binding-Brauerei AG,3.392857142857143,3.1785714285714284,3.738095238095238,3.261904761904762,3.3095238095238093,842
Clear Creek Ice,Clear Creek Ice,2746,Lager - Malt Liquor,63,Minhas Craft Brewery,Notes:,6.2,2.16,6,20,28,2,46,10,0,7,3,0,31,435,Minhas Craft Brewery,2.725,2.175,2.65,2.625,2.425,45719
Clementine,Clementine,5070,Wheat Beer - Witbier,115,Clown Shoes,Notes:,5.0,3.7,18,13,4,17,27,73,0,77,28,23,24,22951,Clown Shoes,3.964516129032258,3.9,3.8548387096774195,3.8645161290322583,3.8967741935483873,58609
Cockeyed Cooper,Cockeyed Cooper,4216,Barleywine - American,97,Uinta Brewing Company,Notes:Aged in bourbon barrels.65 IBU	,11.1,3.96,12,62,66,38,52,20,0,32,42,22,103,1416,Uinta Brewing Company,3.8133333333333335,3.9433333333333334,4.086666666666667,3.8433333333333333,3.88,58868
Coco Loco,Coco Loco,2949,Porter - American,68,NoDa Brewing Company,"Notes:Enjoy the blend of chocolate and brown malts in this robust porter with crazy-rich color and ruby highlights. The subtle bitterness of chocolate is balanced by sweet, organic toasted coconut. Perfect to pair with food or just to enjoy alone. So go nuts, you'll be glad you did.",6.2,4.0,9,111,13,55,75,5,1,70,27,7,148,26990,NoDa Brewing Company,4.166666666666667,4.0,4.166666666666667,4.166666666666667,4.416666666666667,74675
Coffee Bender,Coffee Bender,308,Brown Ale - American,9,Surly Brewing Company,Notes:Bender steeped cold for 24 hours in coarsely ground coffee beans from the Vinca Vista Hermosa plantation in Guatemala.	,5.5,4.18,28,87,9,139,66,16,0,10,64,15,207,13014,Surly Brewing Company,4.1913875598086126,4.199362041467305,4.094098883572568,3.985645933014354,4.181818181818182,30764
Coffee Oatmeal Stout,Coffee Oatmeal Stout,4094,Stout - Oatmeal,93,Good People Brewing Company,"Notes:Big coffee flavors dominate early only to be wiped out by an enormous about of Willamette hop flavors. One of GPBC’s most requested beers. Complex and full of flavor yet amazingly sessionable. Brewed with coffee from Octane Coffee Roasters here in Birmingham, AL.54 IBU	",6.0,4.1,15,83,4,129,43,11,0,10,50,4,151,17282,Good People Brewing Company,4.269230769230769,4.256410256410256,4.166666666666667,4.115384615384615,4.294871794871795,45303
Coffee Porter,Coffee Porter,3010,Porter - English,70,Meantime Brewing Company Limited,"Notes:Whilst we would not recommend having this at breakfast with your bacon and eggs, our Coffee Beer is made with real coffee and has a caffeine hit to match. The natural flavors of the beans selected and hand roasted by our friends at the Union Coffee Roasters go well with the roast barley in the beer to give a silky-smooth drink with distinct chocolate and vanilla notes.	",6.0,3.81,17,75,6,114,44,10,3,7,33,14,174,5062,Meantime Brewing Company Limited,3.7206703910614527,3.939944134078212,3.839385474860335,3.5391061452513966,3.772346368715084,20897
Coffee Stout,Coffee Stout,3818,Stout - American,88,New Glarus Brewing Company,Notes:,5.75,3.9,15,83,11,95,47,14,0,10,23,7,139,590,New Glarus Brewing Company,3.9498480243161094,3.8282674772036476,3.9148936170212765,3.685410334346505,3.8814589665653494,2810
Coffeehouse Porter,Coffeehouse Porter,2926,Porter - American,68,Berkshire Brewing Company Inc.,"Notes:This rich, dark ale takes BBC’s popular Drayman’s Porter and adds Dean’s Beans organic coffee to the mix, creating an enticing blend of everyone’s favorite beginning and end of day beverages. Robust and aromatic, Coffeehouse Porter is sure to please, no matter what time of day you choose to enjoy it.	",6.2,4.08,14,88,15,119,48,3,1,3,26,6,166,33,Berkshire Brewing Company Inc.,4.072966507177034,4.041866028708134,4.068181818181818,3.9043062200956937,4.069377990430622,85
Cold Front,Cold Front,354,Brown Ale - Belgian Dark,10,Ithaca Beer Company,Notes:,7.2,3.66,16,44,25,24,82,43,0,55,28,31,67,651,Ithaca Beer Company,3.6733870967741935,3.774193548387097,3.9153225806451615,3.6451612903225805,3.6733870967741935,52334
Cold Hop British-Style Ale,Cold Hop British-Style Ale,1470,IPA - English,36,Boulder Beer / Wilderness Pub,Notes:,6.8,3.82,24,60,15,98,90,78,6,98,138,8,98,130,Boulder Beer / Wilderness Pub,3.936688311688312,3.788961038961039,3.801948051948052,3.792207792207792,3.8506493506493507,36468
Collaboration Not Litigation Ale,Collaboration Not Litigation Ale,4562,Strong Ale - Belgian Dark,104,Avery Brewing Company,Notes:Collaboration with Russian River Brewing Company	,8.72,3.93,10,49,24,11,101,21,0,51,17,39,61,30,Avery Brewing Company,3.883228840125392,3.9247648902821317,3.9608150470219434,3.927115987460815,3.95141065830721,34877
Colonel Blides Cask Ale,Colonel Blides Cask Ale,1633,Bitter - English,40,Cricket Hill Brewing Co.,Notes:5.5% ABV31 IBU'S	,5.5,3.62,14,56,5,61,43,38,3,41,78,8,82,1344,Cricket Hill Brewing Co.,3.8295454545454546,3.5454545454545454,3.8295454545454546,3.7613636363636362,3.715909090909091,10094
Colossus,Colossus,4543,Strong Ale - American,103,DuClaw Brewing Company,"Notes:Brewed to push the limits of our own skills and imagination, Colossus is dark amber in color and full-bodied with a perceptively sweet flavor profile accented by notes of apple, and a surprisingly tame alcohol presence. This astounding alcohol content is achieved through fermentation alone; no alcohol is introduced at packaging nor it distilled. Multiple grains are used in conjunction with three different yeast strains to produce a beer that simply defies classification… and most laws of nature. One sip of this behemoth brew and you’ll agree: Sometimes size does matter!2006 Batch - 20.0% ABV2011 Batch - 21.92% ABV2014 Batch - 17.3% ABV2015 Batch - 21.0% ABV2018 Batch - 20.0% ABV	",20.0,3.75,11,59,106,23,151,61,1,90,16,56,69,1924,DuClaw Brewing Company,3.7564102564102564,3.858974358974359,3.8461538461538463,3.948717948717949,4.038461538461538,48881
Colt 45 Double Malt Liquor,Colt 45 Double Malt Liquor,2731,Lager - Malt Liquor,63,Pabst Brewing Company,Notes:,5.61,2.62,15,28,18,7,21,7,1,6,7,0,63,447,Pabst Brewing Company,3.0,2.6666666666666665,2.9444444444444446,2.888888888888889,2.861111111111111,4544
Colt 45 High Gravity Lager,Colt 45 High Gravity Lager,2726,Lager - Malt Liquor,63,Pabst Brewing Company,Notes:,8.5,2.71,21,19,54,16,51,15,2,10,15,4,62,447,Pabst Brewing Company,2.767857142857143,2.8035714285714284,3.232142857142857,2.8214285714285716,2.8214285714285716,52945
Colt 45 Malt Liquor,Colt 45 Malt Liquor,2704,Lager - Malt Liquor,63,Pabst Brewing Company,"Notes:Introduced in 1963 by the Baltimore, Maryland-based National Brewing Company, Colt 45 was named in honor of running back Jerry Hill, who was #45 on the 1963 Baltimore Colts football team. Through high-profile partnerships with actor Billy Dee Williams and comedian Redd Foxx — who both appeared in radio, print, and TV advertisements – Colt 45 established itself as the premier malt liquor beverage by the early 1970s.It was also during this time that the iconic slogan, “Works Every Time,” became synonymous with the brand. The Williams relationship lasted for nearly four decades, until he passed the torch to music mogul, Snoop Dogg in 2010.With Snoop at the helm, we’ve entered an exciting new Colt 45 era.	",5.61,2.22,20,21,18,20,28,15,6,6,38,1,73,447,Pabst Brewing Company,2.6666666666666665,2.1707317073170733,2.5772357723577235,2.5752032520325203,2.459349593495935,1334
